priority,description,id,my_mothod,result
1,"Trying to establish why startup is slow for some folks.  Possible cause is large history, but it may be something else too.  Getting a profile for this will be a good start at identifying the problem.",479078,"Trying to establish why startup is slow for some folks.  Possible cause is large history, but it may be something else too.  Getting a profile for this will be a good start at identifying the problem. Establish why startup can be so slow normal Places Toolkit","['try', 'est', 'startup', 'slow', 'som', 'folk', 'poss', 'caus', 'larg', 'hist', 'may', 'someth', 'els', 'get', 'profil', 'thi', 'wil', 'good', 'start', 'ident', 'problem', 'est', 'startup', 'slow', 'norm', 'plac', 'toolkit']"
3,"Hello, Installer (Monzilla seamonkey) crashes at setup. After copying all the files, a  dos(sic) windows appears saying : *** Registering sidebar JS components nNCL: registering deferred (0) WEBSHELL+ = 1 and another window appears with title confirm migration When i select <OK> A Dr watson windows appears The DOS Windows says now  WEBSHELL- = 0 WEBSHELL+ = 1 WEBSHELL- = 0 I have the Drwatson.log if y need it.  Also, there's a problem at installation. At the Windows titled <Start install>  the subwindow is empty, i.e. it doesn't say default directory, etc. i choose  custom installation, but didn't add/remove anything.  I use a Windows NT SP-6a, Netscape 4.7 Regards   C. Kilitzirakis",26040,"Hello, Installer (Monzilla seamonkey) crashes at setup. After copying all the files, a  dos(sic) windows appears saying : *** Registering sidebar JS components nNCL: registering deferred (0) WEBSHELL+ = 1 and another window appears with title confirm migration When i select <OK> A Dr watson windows appears The DOS Windows says now  WEBSHELL- = 0 WEBSHELL+ = 1 WEBSHELL- = 0 I have the Drwatson.log if y need it.  Also, there's a problem at installation. At the Windows titled <Start install>  the subwindow is empty, i.e. it doesn't say default directory, etc. i choose  custom installation, but didn't add/remove anything.  I use a Windows NT SP-6a, Netscape 4.7 Regards   C. Kilitzirakis Mozilla crashes at startup/when run for the first time blocker DOM: UI Events & Focus Handling Core","['hello', 'instal', 'seamonkey', 'crash', 'setup', 'aft', 'cop', 'al', 'fil', 'dos', 'window', 'appear', 'say', 'reg', 'sideb', 'js', 'compon', 'nncl', 'reg', 'defer', 'webshel', 'anoth', 'window', 'appear', 'titl', 'confirm', 'migr', 'select', 'ok', 'dr', 'watson', 'window', 'appear', 'dos', 'window', 'say', 'webshel', 'webshel', 'webshel', 'hav', 'log', 'nee', 'also', 'ther', 'problem', 'instal', 'window', 'titl', 'start', 'instal', 'empty', 'e', 'say', 'default', 'direct', 'etc', 'choos', 'custom', 'instal', 'ad', 'remov', 'anyth', 'us', 'window', 'nt', 'sp', 'netscap', 'regard', 'c', 'mozill', 'crash', 'startup', 'run', 'first', 'tim', 'block', 'dom', 'ui', 'ev', 'foc', 'handl', 'cor']"
3,"A really minor aesthetic problem:  On Windows M13 (Win32 build 2000012520), when I bring up the ""Search > Find on this Page"" dialog, the text box mysteriously ""captures"" part of the underlying window; ie, the menu bar or browser window is visible underneath the text entry area in the dialog box until I type text into the ""Find Text"" box.  I can provide a screenshot if needed.",26051,"A really minor aesthetic problem:  On Windows M13 (Win32 build 2000012520), when I bring up the ""Search > Find on this Page"" dialog, the text box mysteriously ""captures"" part of the underlying window; ie, the menu bar or browser window is visible underneath the text entry area in the dialog box until I type text into the ""Find Text"" box.  I can provide a screenshot if needed. text entry for ""Find on Page"" box grabs underlying window trivial General SeaMonkey","['real', 'min', 'problem', 'window', 'win', 'build', 'bring', 'search', 'find', 'thi', 'pag', 'dialog', 'text', 'box', 'mystery', 'capt', 'part', 'und', 'window', 'ie', 'menu', 'bar', 'brows', 'window', 'vis', 'undernea', 'text', 'entry', 'dialog', 'box', 'typ', 'text', 'find', 'text', 'box', 'provid', 'screenshot', 'nee', 'text', 'entry', 'find', 'pag', 'box', 'grab', 'und', 'window', 'triv', 'gen', 'seamonkey']"
3,"Another bug-or-feature (for i'm realy not sure about this one): I'am filling this field and then i switch to another task (Alt-Tab or by mouse click) and then I come back to this browser window and continue typing but text doesn't show up because this field doesn't have the focus anymore. This is not normal behaviour (acording to Netscape 4.7). This also can be of help: if i switch to another task and back using Alt-Tab combination then main menu bar has the focus (pressing for example ""T"" opens ""Tasks"" menu). Because of the ""Alt""?",26068,"Another bug-or-feature (for i'm realy not sure about this one): I'am filling this field and then i switch to another task (Alt-Tab or by mouse click) and then I come back to this browser window and continue typing but text doesn't show up because this field doesn't have the focus anymore. This is not normal behaviour (acording to Netscape 4.7). This also can be of help: if i switch to another task and back using Alt-Tab combination then main menu bar has the focus (pressing for example ""T"" opens ""Tasks"" menu). Because of the ""Alt""? Form component focus problem minor DOM: Core & HTML Core","['anoth', 'bug', 'feat', 'sur', 'thi', 'fil', 'thi', 'field', 'switch', 'anoth', 'task', 'alt', 'tab', 'mous', 'click', 'com', 'back', 'thi', 'brows', 'window', 'continu', 'typ', 'text', 'show', 'becaus', 'thi', 'field', 'hav', 'foc', 'anym', 'thi', 'norm', 'behavio', 'netscap', 'thi', 'also', 'help', 'switch', 'anoth', 'task', 'back', 'us', 'alt', 'tab', 'combin', 'main', 'menu', 'bar', 'foc', 'press', 'exampl', 'op', 'task', 'menu', 'becaus', 'alt', 'form', 'compon', 'foc', 'problem', 'min', 'dom', 'cor', 'html', 'cor']"
1,"Steps to reproduce: 1. download mozilla...bin file, clean mozregistry and profiles folder 2. choose Mozilla ProfileManager or Mozilla ProfileWizard 3. Fill in data and press start 4. Seamonkey is launched-  5. Quit seamonkey 6. Choose Mozilla Select Profile or another option  Actual results: crash on exit (will get stack crawl after testing netscape...bin  file- 2nd launch shows splash screen then stops  Expected results: no crash, relaunch   build 2000020109",26102,"Steps to reproduce: 1. download mozilla...bin file, clean mozregistry and profiles folder 2. choose Mozilla ProfileManager or Mozilla ProfileWizard 3. Fill in data and press start 4. Seamonkey is launched-  5. Quit seamonkey 6. Choose Mozilla Select Profile or another option  Actual results: crash on exit (will get stack crawl after testing netscape...bin  file- 2nd launch shows splash screen then stops  Expected results: no crash, relaunch   build 2000020109 [PP]Cannot launch second time. blocker Build Config SeaMonkey","['step', 'reproduc', 'download', 'mozill', 'bin', 'fil', 'cle', 'mozreg', 'profil', 'fold', 'choos', 'mozill', 'profilem', 'mozill', 'fil', 'dat', 'press', 'start', 'seamonkey', 'launch', 'quit', 'seamonkey', 'choos', 'mozill', 'select', 'profil', 'anoth', 'opt', 'act', 'result', 'crash', 'exit', 'wil', 'get', 'stack', 'aft', 'test', 'netscap', 'bin', 'fil', 'nd', 'launch', 'show', 'splash', 'screen', 'stop', 'expect', 'result', 'crash', 'relaunch', 'build', 'pp', 'launch', 'second', 'tim', 'block', 'build', 'config', 'seamonkey']"
1,"When running the table regression tests, Viewer asserts and after continuing, it  hangs. To run the regression tests on Windows, map your s drive to the  directory above mozilla, go to layout\html\tests\table\core and run ""rtest  baseline"". It also fails in any of sibling directories of core (e.g. bugs,  viewer_tests, marvin, dom, other).",26111,"When running the table regression tests, Viewer asserts and after continuing, it  hangs. To run the regression tests on Windows, map your s drive to the  directory above mozilla, go to layout\html\tests\table\core and run ""rtest  baseline"". It also fails in any of sibling directories of core (e.g. bugs,  viewer_tests, marvin, dom, other). [BLOCKER] Viewer asserts/hangs during regression tests blocker DOM: Navigation Core","['run', 'tabl', 'regress', 'test', 'view', 'assert', 'aft', 'continu', 'hang', 'run', 'regress', 'test', 'window', 'map', 'yo', 'driv', 'direct', 'abov', 'mozill', 'go', 'layout', 'html', 'test', 'tabl', 'cor', 'run', 'baselin', 'also', 'fail', 'sibl', 'direct', 'cor', 'e', 'g', 'bug', 'view', 'test', 'dom', 'oth', 'block', 'view', 'assert', 'hang', 'dur', 'regress', 'test', 'block', 'dom', 'navig', 'cor']"
1,"If we use window.open continously to load new pages, for first 4 times its fine,  but fith time it crashes application.   In our automation testing we open new window for loading every new testcase, and  now this is blocking automation.   BUILDS: 2000-02-01-00.  OS TESTED ON: Win-95, Win-98, MACOS.  STEPS TO REPRODUCE: 1] Please visit above URL. 2] You'll see one parent window. This parent window will keep on opening one  child window. 3] You'll see one counter on child window. When this counter reaches 4, after  that 5th time, you'll see crash.  OR  1] Please copy HTML codes I'm providing for parent window, as well as child  window. Save those HTML files. Make chages in variabe 'url' in parent window  code, according to new file locations. 2] Open parent file with above specified builds. 3] You'll see one parent window. This parent window will keep on opening one  child window. 4] You'll see one counter on child window. When this counter reaches 4, after  that 5th time, you'll see crash.  EXPECTED RESULTS: Parent window should open child window 5 times, since we are limiting counter to  6.  ACTUAL RESULTS: 5th time it crashes application.  TESTCASE CODE FOR PARENT WINDOW START: <HTML> <HEAD><TITLE>Continous Window.Open()</TITLE></HEAD> <BODY> This is Parent Window which is going to open child window 5 times. <SCRIPT> <!-- var tcnum=1; opennewwin(); function opennewwin() {   if(tcnum != 6)   {        url = 'http://bubblegum/desale/opennewwin1.html';     testWin = window.open(url, 'testWindow');     testWin.opener = self;     testWin.focus();     tcnum++;   } } //--> </SCRIPT> </BODY> </HTML> TESTCASE CODE FOR PARENT WINDOW END:  TESTCASE CODE FOR CHILD WINDOW START: <html> <head> <title>Child window</title> </head> <body> This is child window which is going to get opened by parent window 5 times. <SCRIPT> <!-- document.write('<H1>'); document.write('Window Open Counter = '); document.write(window.opener.tcnum); document.write('</H1>'); window.opener.opennewwin(); //--> </SCRIPT> </body> </html> TESTCASE CODE FOR CHILD WINDOW END:",26115,"If we use window.open continously to load new pages, for first 4 times its fine,  but fith time it crashes application.   In our automation testing we open new window for loading every new testcase, and  now this is blocking automation.   BUILDS: 2000-02-01-00.  OS TESTED ON: Win-95, Win-98, MACOS.  STEPS TO REPRODUCE: 1] Please visit above URL. 2] You'll see one parent window. This parent window will keep on opening one  child window. 3] You'll see one counter on child window. When this counter reaches 4, after  that 5th time, you'll see crash.  OR  1] Please copy HTML codes I'm providing for parent window, as well as child  window. Save those HTML files. Make chages in variabe 'url' in parent window  code, according to new file locations. 2] Open parent file with above specified builds. 3] You'll see one parent window. This parent window will keep on opening one  child window. 4] You'll see one counter on child window. When this counter reaches 4, after  that 5th time, you'll see crash.  EXPECTED RESULTS: Parent window should open child window 5 times, since we are limiting counter to  6.  ACTUAL RESULTS: 5th time it crashes application.  TESTCASE CODE FOR PARENT WINDOW START: <HTML> <HEAD><TITLE>Continous Window.Open()</TITLE></HEAD> <BODY> This is Parent Window which is going to open child window 5 times. <SCRIPT> <!-- var tcnum=1; opennewwin(); function opennewwin() {   if(tcnum != 6)   {        url = 'http://bubblegum/desale/opennewwin1.html';     testWin = window.open(url, 'testWindow');     testWin.opener = self;     testWin.focus();     tcnum++;   } } //--> </SCRIPT> </BODY> </HTML> TESTCASE CODE FOR PARENT WINDOW END:  TESTCASE CODE FOR CHILD WINDOW START: <html> <head> <title>Child window</title> </head> <body> This is child window which is going to get opened by parent window 5 times. <SCRIPT> <!-- document.write('<H1>'); document.write('Window Open Counter = '); document.write(window.opener.tcnum); document.write('</H1>'); window.opener.opennewwin(); //--> </SCRIPT> </body> </html> TESTCASE CODE FOR CHILD WINDOW END: Continous 5 times Window.open crashing application. blocker DOM: Core & HTML Core","['us', 'window', 'op', 'contin', 'load', 'new', 'pag', 'first', 'tim', 'fin', 'tim', 'crash', 'apply', 'autom', 'test', 'op', 'new', 'window', 'load', 'every', 'new', 'testcas', 'thi', 'block', 'autom', 'build', 'os', 'test', 'win', 'win', 'maco', 'step', 'reproduc', 'pleas', 'visit', 'abov', 'url', 'see', 'par', 'window', 'thi', 'par', 'window', 'wil', 'keep', 'op', 'child', 'window', 'see', 'count', 'child', 'window', 'thi', 'count', 'reach', 'aft', 'th', 'tim', 'see', 'crash', 'pleas', 'cop', 'html', 'cod', 'provid', 'par', 'window', 'wel', 'child', 'window', 'sav', 'thos', 'html', 'fil', 'mak', 'url', 'par', 'window', 'cod', 'accord', 'new', 'fil', 'loc', 'op', 'par', 'fil', 'abov', 'spec', 'build', 'see', 'par', 'window', 'thi', 'par', 'window', 'wil', 'keep', 'op', 'child', 'window', 'see', 'count', 'child', 'window', 'thi', 'count', 'reach', 'aft', 'th', 'tim', 'see', 'crash', 'expect', 'result', 'par', 'window', 'op', 'child', 'window', 'tim', 'sint', 'ar', 'limit', 'count', 'act', 'result', 'th', 'tim', 'crash', 'apply', 'testcas', 'cod', 'par', 'window', 'start', 'html', 'head', 'titl', 'contin', 'window', 'op', 'titl', 'head', 'body', 'thi', 'par', 'window', 'going', 'op', 'child', 'window', 'tim', 'script', 'var', 'tcnum', 'opennewwin', 'funct', 'opennewwin', 'tcnum', 'url', 'testwin', 'window', 'op', 'url', 'testwindow', 'testwin', 'op', 'self', 'testwin', 'foc', 'tcnum', 'script', 'body', 'html', 'testcas', 'cod', 'par', 'window', 'end', 'testcas', 'cod', 'child', 'window', 'start', 'html', 'head', 'titl', 'child', 'window', 'titl', 'head', 'body', 'thi', 'child', 'window', 'going', 'get', 'op', 'par', 'window', 'tim', 'script', 'docu', 'writ', 'h', 'docu', 'writ', 'window', 'op', 'count', 'docu', 'writ', 'window', 'op', 'tcnum', 'docu', 'writ', 'h', 'window', 'op', 'opennewwin', 'script', 'body', 'html', 'testcas', 'cod', 'child', 'window', 'end', 'contin', 'tim', 'window', 'op', 'crash', 'apply', 'block', 'dom', 'cor', 'html', 'cor']"
1,"Could not open new window with window.open in script tags. If we try to open new window on certain event then it does open new window. [For  example, if we open new window on button click or something, or onLoad or any  other event then it works.] But if we try to open new window with window.open  mentioned in scrpt tags, then it does not open new window. [This bug was there  for almost two three days now]  This one is blocking our automation on Linux.  BUILDS: 2000-01-31-14.   STEPS TO REPRODUCE: 1] Please visit the URL I mentioned above.  OR  1] Please copy HTML code I'm providing. Save it as HTML file. 2] Open this HTML file with above mentioned builds.  EXPECTED RESUTS: As soon as you load the page, it should open new window adn load www.yahoo.com  in new window.  ACTUAL RESULTS: It does not open new window.  TESTCASE CODE START: <HTML> <HEAD><TITLE>Continous Window.Open()</TITLE></HEAD> <BODY> This is Parent Window which is going to open child window 5 times. <SCRIPT> <!--  url = 'http://www.yahoo.com';  testWin = window.open(url, 'testWindow');      //--> </SCRIPT> </BODY> </HTML> TESTCASE CODE END:",26129,"Could not open new window with window.open in script tags. If we try to open new window on certain event then it does open new window. [For  example, if we open new window on button click or something, or onLoad or any  other event then it works.] But if we try to open new window with window.open  mentioned in scrpt tags, then it does not open new window. [This bug was there  for almost two three days now]  This one is blocking our automation on Linux.  BUILDS: 2000-01-31-14.   STEPS TO REPRODUCE: 1] Please visit the URL I mentioned above.  OR  1] Please copy HTML code I'm providing. Save it as HTML file. 2] Open this HTML file with above mentioned builds.  EXPECTED RESUTS: As soon as you load the page, it should open new window adn load www.yahoo.com  in new window.  ACTUAL RESULTS: It does not open new window.  TESTCASE CODE START: <HTML> <HEAD><TITLE>Continous Window.Open()</TITLE></HEAD> <BODY> This is Parent Window which is going to open child window 5 times. <SCRIPT> <!--  url = 'http://www.yahoo.com';  testWin = window.open(url, 'testWindow');      //--> </SCRIPT> </BODY> </HTML> TESTCASE CODE END: Could not open new window with javascript on Linux. blocker DOM: Core & HTML Core","['could', 'op', 'new', 'window', 'window', 'op', 'script', 'tag', 'try', 'op', 'new', 'window', 'certain', 'ev', 'doe', 'op', 'new', 'window', 'exampl', 'op', 'new', 'window', 'button', 'click', 'someth', 'onload', 'oth', 'ev', 'work', 'try', 'op', 'new', 'window', 'window', 'op', 'ment', 'tag', 'doe', 'op', 'new', 'window', 'thi', 'bug', 'ther', 'almost', 'two', 'three', 'day', 'thi', 'block', 'autom', 'linux', 'build', 'step', 'reproduc', 'pleas', 'visit', 'url', 'ment', 'abov', 'pleas', 'cop', 'html', 'cod', 'provid', 'sav', 'html', 'fil', 'op', 'thi', 'html', 'fil', 'abov', 'ment', 'build', 'expect', 'soon', 'load', 'pag', 'op', 'new', 'window', 'load', 'www', 'yahoo', 'com', 'new', 'window', 'act', 'result', 'doe', 'op', 'new', 'window', 'testcas', 'cod', 'start', 'html', 'head', 'titl', 'contin', 'window', 'op', 'titl', 'head', 'body', 'thi', 'par', 'window', 'going', 'op', 'child', 'window', 'tim', 'script', 'url', 'testwin', 'window', 'op', 'url', 'testwindow', 'script', 'body', 'html', 'testcas', 'cod', 'end', 'could', 'op', 'new', 'window', 'javascrib', 'linux', 'block', 'dom', 'cor', 'html', 'cor']"
3,"found this using the 2000-02-01-08 comm bits on winNT.  to repro, 1. go to above URL. 2. the AutoFill Password dialog appears. since i don't have a userid/passwd for  this site, i just keep the fields blank. 3. uncheck the ""Save these values"" checkbox. 4. click the Cancel button.  result: the dialog disappears briefly...then reappears (text fields are blank,  but the checkbox is selected again). doesn't go away. clicking either OK  or Cancel will just repeat this result, too. forced to shutdown the browser  (eg, close box widget). here's the console output:   *** Timing layout processes on url: 'chrome://global/content/commonDialog.xul', webshell: 02D76DD0 change lock icon to unlock - new document WEBSHELL+ = 7 Total (Layout + Page Load) Time (webshell=02DF1060): Real time 0:0:0, CP time  0. 031 WEBSHELL+ = 8 Total (Layout + Page Load) Time (webshell=02E3E870): Real time 0:0:0, CP time  0. 047 Reflow time (this=02DD5720): Real time 0:0:0, CP time 0.156 Frame construction plus style resolution time (this=02DD5720): Real time 0:0:0, CP time 0.016 Style resolution time (this=02DD5720): Real time 0:0:0, CP time 0.000 Total (Layout + Page Load) Time (webshell=02D76DD0): Real time 0:0:0, CP time  0. 203 commonDialogOnLoad WEBSHELL- = 7 WEBSHELL+ = 8 Total (Layout + Page Load) Time (webshell=02E58220): Real time 0:0:0, CP time  0. 047 Move window by 0,20 screen x 0screen y 0 ! nsSecureBrowserUIImpl found: chrome://global/content/commonDialog.xul change lock icon to unlock ?(chrome 0)  expected: not totally clear on what should happen upon cancelling (or entering  invalid info), but the dialog should go away and then allow the user to  continue using the browser.",26149,"found this using the 2000-02-01-08 comm bits on winNT.  to repro, 1. go to above URL. 2. the AutoFill Password dialog appears. since i don't have a userid/passwd for  this site, i just keep the fields blank. 3. uncheck the ""Save these values"" checkbox. 4. click the Cancel button.  result: the dialog disappears briefly...then reappears (text fields are blank,  but the checkbox is selected again). doesn't go away. clicking either OK  or Cancel will just repeat this result, too. forced to shutdown the browser  (eg, close box widget). here's the console output:   *** Timing layout processes on url: 'chrome://global/content/commonDialog.xul', webshell: 02D76DD0 change lock icon to unlock - new document WEBSHELL+ = 7 Total (Layout + Page Load) Time (webshell=02DF1060): Real time 0:0:0, CP time  0. 031 WEBSHELL+ = 8 Total (Layout + Page Load) Time (webshell=02E3E870): Real time 0:0:0, CP time  0. 047 Reflow time (this=02DD5720): Real time 0:0:0, CP time 0.156 Frame construction plus style resolution time (this=02DD5720): Real time 0:0:0, CP time 0.016 Style resolution time (this=02DD5720): Real time 0:0:0, CP time 0.000 Total (Layout + Page Load) Time (webshell=02D76DD0): Real time 0:0:0, CP time  0. 203 commonDialogOnLoad WEBSHELL- = 7 WEBSHELL+ = 8 Total (Layout + Page Load) Time (webshell=02E58220): Real time 0:0:0, CP time  0. 047 Move window by 0,20 screen x 0screen y 0 ! nsSecureBrowserUIImpl found: chrome://global/content/commonDialog.xul change lock icon to unlock ?(chrome 0)  expected: not totally clear on what should happen upon cancelling (or entering  invalid info), but the dialog should go away and then allow the user to  continue using the browser. AutoFill Password dialog won't go away upon cancelling blocker Networking Core","['found', 'thi', 'us', 'com', 'bit', 'winnt', 'repro', 'go', 'abov', 'url', 'password', 'dialog', 'appear', 'sint', 'hav', 'userid', 'passwd', 'thi', 'sit', 'keep', 'field', 'blank', 'uncheck', 'sav', 'thes', 'valu', 'checkbox', 'click', 'cancel', 'button', 'result', 'dialog', 'disappear', 'brief', 'reappear', 'text', 'field', 'ar', 'blank', 'checkbox', 'select', 'go', 'away', 'click', 'eith', 'ok', 'cancel', 'wil', 'rep', 'thi', 'result', 'forc', 'shutdown', 'brows', 'eg', 'clos', 'box', 'widget', 'consol', 'output', 'tim', 'layout', 'process', 'url', 'chrome', 'glob', 'cont', 'commondialog', 'xul', 'webshel', 'dd', 'chang', 'lock', 'icon', 'unlock', 'new', 'docu', 'webshel', 'tot', 'layout', 'pag', 'load', 'tim', 'webshel', 'df', 'real', 'tim', 'cp', 'tim', 'webshel', 'tot', 'layout', 'pag', 'load', 'tim', 'webshel', 'e', 'e', 'real', 'tim', 'cp', 'tim', 'reflow', 'tim', 'thi', 'dd', 'real', 'tim', 'cp', 'tim', 'fram', 'construct', 'plu', 'styl', 'resolv', 'tim', 'thi', 'dd', 'real', 'tim', 'cp', 'tim', 'styl', 'resolv', 'tim', 'thi', 'dd', 'real', 'tim', 'cp', 'tim', 'tot', 'layout', 'pag', 'load', 'tim', 'webshel', 'dd', 'real', 'tim', 'cp', 'tim', 'webshel', 'webshel', 'tot', 'layout', 'pag', 'load', 'tim', 'webshel', 'e', 'real', 'tim', 'cp', 'tim', 'mov', 'window', 'screen', 'x', 'screen', 'nssecurebrowseruiimpl', 'found', 'chrome', 'glob', 'cont', 'commondialog', 'xul', 'chang', 'lock', 'icon', 'unlock', 'chrome', 'expect', 'tot', 'clear', 'hap', 'upon', 'cancel', 'ent', 'invalid', 'info', 'dialog', 'go', 'away', 'allow', 'us', 'continu', 'us', 'brows', 'password', 'dialog', 'go', 'away', 'upon', 'cancel', 'block', 'network', 'cor']"
3,"Sometimes, I will see on single line text boxes the very top arrow button of a scroll bar appear along the right edge of the box. I looks like the browser is trying to draw a scroll bar on these single line boxes. You can click the button, but it doesn't do anything. Entering text into the field will usually make it go away again. I don't know what makes it happen, it just does occasionaly. I'm using M13, and I've seen it occur on both Win32 and Linux builds. I searched the bugzilla database and couldn't find a previous mention of it, but since I would think it's rather common (happens to me often), I apologize in advance if this is a duplicate bug.",26180,"Sometimes, I will see on single line text boxes the very top arrow button of a scroll bar appear along the right edge of the box. I looks like the browser is trying to draw a scroll bar on these single line boxes. You can click the button, but it doesn't do anything. Entering text into the field will usually make it go away again. I don't know what makes it happen, it just does occasionaly. I'm using M13, and I've seen it occur on both Win32 and Linux builds. I searched the bugzilla database and couldn't find a previous mention of it, but since I would think it's rather common (happens to me often), I apologize in advance if this is a duplicate bug. Occasional scroll bar appearance on text boxes minor DOM: Core & HTML Core","['sometim', 'wil', 'see', 'singl', 'lin', 'text', 'box', 'top', 'arrow', 'button', 'scroll', 'bar', 'appear', 'along', 'right', 'edg', 'box', 'look', 'lik', 'brows', 'try', 'draw', 'scroll', 'bar', 'thes', 'singl', 'lin', 'box', 'click', 'button', 'anyth', 'ent', 'text', 'field', 'wil', 'us', 'mak', 'go', 'away', 'know', 'mak', 'hap', 'doe', 'us', 'seen', 'occ', 'win', 'linux', 'build', 'search', 'bugzill', 'databas', 'find', 'prevy', 'ment', 'sint', 'would', 'think', 'rath', 'common', 'hap', 'oft', 'apolog', 'adv', 'thi', 'duply', 'bug', 'occas', 'scroll', 'bar', 'appear', 'text', 'box', 'min', 'dom', 'cor', 'html', 'cor']"
